email_text,label
"Monthly report attached Please find attached the monthly analytics report for May. Highlights include a 12% increase in user engagement and a 5% reduction in support tickets compared to April. Best regards, Team 5.",0
"Your appointment is confirmed for Monday This is a confirmation for your dentist appointment on Monday, June 3rd at 10:00 AM with Dr. Smith. Please arrive 10 minutes early to fill out paperwork. Best regards, Team 16.",0
"Team meeting scheduled for Friday 3pm Hi team, Just a reminder that our weekly sync is scheduled for Friday at 3:00 PM in Conference Room B. Please bring your status updates. Let me know if you have any conflicts. Best regards, Team 16.",0
"Happy birthday from the team! Dear John, Wishing you a very happy birthday from the entire team! We hope you enjoy the small celebration we have planned for the lunch break today. See you soon!",0
Final notice: Your account will be deleted You have a pending package from FedEx. Pay the $2.99 delivery fee now to release your package: http://fedex-delivery-confirm.xyz/pay Reference ID: 97939.,1
"Reminder: Submit timesheets by Friday Hi team, just a reminder to submit your timesheets before end of day Friday. Please ensure all project codes are correctly entered. Contact HR if you have questions.",0
"Monthly report attached Please find attached the monthly analytics report for May. Highlights include a 12% increase in user engagement and a 5% reduction in support tickets compared to April. Best regards, Team 16.",0
"Reminder: Submit timesheets by Friday Hi team, just a reminder to submit your timesheets before end of day Friday. Please ensure all project codes are correctly entered. Contact HR if you have questions.",0
"New blog post: 5 tips for better coding New post on our blog: 5 Practical Tips for Writing Cleaner Python Code. Topics include PEP 8 guidelines, docstrings, list comprehensions, and more. Read now on our website.",0
"Action required: Verify your identity now CONGRATULATIONS! You have been selected as a winner. To claim your $500 gift card, provide your personal details and credit card number at: http://freegift-claim.net/winner",1
"Job application received - thank you Dear Applicant, Thank you for applying to the Software Engineer position at TechCorp. We have received your application and will review it within two weeks.",0
"Action required: Verify your identity now CONGRATULATIONS! You have been selected as a winner. To claim your $500 gift card, provide your personal details and credit card number at: http://freegift-claim.net/winner",1
"Project update: Q3 milestones achieved Hello everyone, I am happy to share that we have successfully completed all Q3 milestones ahead of schedule. Great work by everyone on the team. More details in the attached report.",0
Python conference registration confirmed Your registration for PyCon 2024 is confirmed! The conference runs from April 19-21 in Pittsburgh. Your badge and schedule will be emailed two weeks before the event.,0
"Your order has shipped - tracking #12345 Your Amazon order #112-3456789 has shipped! Your package is expected to arrive by Thursday. You can track your shipment using the tracking number above. Best regards, Team 14.",0
"Your subscription renewal is due next month This is a friendly reminder that your annual subscription renews on July 1st. No action is needed if you wish to continue. Contact us at support@company.com to cancel. Best regards, Team 3.",0
IRS Tax Refund Notification Your email storage is 99% full. Upgrade NOW or all your emails will be deleted: http://email-storage-upgrade.xyz/buy,1
Python conference registration confirmed Your registration for PyCon 2024 is confirmed! The conference runs from April 19-21 in Pittsburgh. Your badge and schedule will be emailed two weeks before the event.,0
